,[] -  / Time ,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
3,HALAVEN (J9179) - Dose USD ,"$6,072,350.25 ","$6,321,919.24 ","$5,724,825.20 ","$4,317,968.31 ","$3,413,132.33 ","$7,685,827.56 ","$8,265,392.98 ","$10,410,345.26 ","$7,770,000.56 ","$7,155,103.69 ","$9,756,327.47 ","$11,739,992.88 ","$8,662,176.17 ","$7,824,052.26 ","$10,216,938.51 ","$5,479,202.35 ","$8,496,939.47 ","$4,877,171.72 ","$5,364,064.07 ","$5,258,511.25 ","$4,397,203.59 ","$3,723,187.39 ","$5,926,192.32 ","$5,215,464.34 ","$7,565,515.81 ","$6,919,450.82 ","$5,976,294.24 ","$5,901,293.89 ","$5,455,946.40 ","$4,934,543.16 ","$6,928,686.24 ","$7,638,424.06 ","$8,963,974.67 ","$9,738,685.72 ","$4,491,338.53 ","$1,609,813.78 ","$2,592,335.19 ","$2,536,779.26 ","$2,847,857.13 ","$2,802,778.05 ","$2,174,474.96 ","$811,785.09 ","$1,971,315.43 ","$1,468,418.21 ","$3,574,951.16 ","$3,158,789.54 ","$2,143,130.00 ","$4,330,023.76 ","$1,798,648.76 ","$909,723.93 ","$1,202,273.89 ","$1,809,030.43 ","$2,189,811.75 ","$3,581,651.82 ","$5,936,541.75 ","$6,036,641.78 ","$8,989,920.86 ","$5,923,522.15 ","$5,180,798.64 ","$4,029,969.88 ","$2,070,723.21 ","$2,406,585.05 ","$2,598,013.27 ","$1,739,988.18 ","$2,776,609.25 ","$2,104,846.05 ","$2,474,806.05 ","$2,006,872.67 ","$1,322,082.09 ","$1,304,474.88 ","$2,381,959.68 ","$4,012,503.29 ","$1,430,626.02 ","$1,346,785.65 ","$1,525,304.24 ","$1,114,537.28 ","$750,390.39 ","$165,380.67 ","$54,998.97 ","$84,567.63 ","$119,004.18 ","$216,001.50 ","$486,949.34 ","$74,303.58 ","$488,525.48 ","$726,117.53 ","$1,115,596.19 ","$707,848.96 ","$658,668.76 ","$698,058.98 ","$1,621,447.52 ","$1,966,199.40 ","$1,648,463.38 ","$1,168,037.75 ","$2,138,791.88 ","$1,822,431.92 ","$3,196,678.98 ","$3,670,856.52 ","$3,224,812.52 "
4,HALOPERIDOL DECANOATE INJ (J1631) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HALOPERIDOL DECANOATE INJ (J1631) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
6,HALOPERIDOL INJECTION (J1630) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,HALOPERIDOL INJECTION (J1630) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,,,
8,HECTOROL (J1270) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,HECTOROL (J1270) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HEMOPHILIA CLOT FACTOR NOC (J7199) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,HEMOPHILIA CLOT FACTOR NOC (J7199) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,,,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"HEP B IMM GLOB, PER 1 ML (C9105) - Dose Units ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"HEP B IMM GLOB, PER 1 ML (C9105) - Dose USD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HEPAGAM B IM (J1571) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,HEPAGAM B IM (J1571) - Dose USD ,,$0.00 ,$0.00 ,$0.00 ,,,,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,,,$0.00 ,$0.00 ,,,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,$0.00 ,,,,$0.00 ,,,,,$0.00 ,,,,,$0.00 ,,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,,,
16,HEPAGAM B IV (J1573) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,HEPAGAM B IV (J1573) - Dose USD ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,$0.00 ,,,,,,,,,,,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,HERCEPTIN (J9355) - Dose Units ,"28,114","24,485","30,009","24,961","23,786","32,922","23,372","29,028","22,228","20,905","28,668","24,954","28,835","28,259","34,214","23,573","29,874","22,786","22,190","29,558","27,201","23,829","29,498","27,526","30,999","26,386","26,349","26,930","32,273","25,044","28,182","33,303","25,207","36,900","23,932","26,251","36,788","28,985","29,291","29,724","38,432","30,427","38,731","30,411","31,112","38,834","32,916","32,897","41,599","33,668","34,542","43,508","38,283","36,384","46,076","35,606","52,011","39,284","41,044","46,343","34,146","38,074","48,666","39,642","39,170","47,463","41,196","45,746","49,517","43,073","44,176","61,971","50,912","49,425","56,993","46,698","50,350","51,984","38,902","51,642","42,009","41,079","53,485","44,012","44,580","43,798","55,235","44,288","55,588","45,881","42,965","54,078","43,606","41,204","54,255","37,509","48,748","36,277","23,852"
19,HERCEPTIN (J9355) - Dose USD ,"$106,246,668.86 ","$94,859,848.21 ","$120,684,971.63 ","$103,872,016.48 ","$102,660,195.23 ","$146,838,441.02 ","$105,506,113.78 ","$131,755,015.03 ","$100,291,342.30 ","$94,573,174.75 ","$128,051,527.61 ","$110,843,606.80 ","$129,333,836.00 ","$128,612,996.63 ","$159,768,978.94 ","$113,869,253.92 ","$149,469,898.66 ","$116,572,437.73 ","$115,163,825.53 ","$155,350,877.28 ","$143,910,086.62 ","$125,341,018.96 ","$152,766,189.27 ","$140,020,426.66 ","$159,391,588.17 ","$135,672,326.38 ","$135,482,078.67 ","$138,541,654.30 ","$166,028,771.23 ","$128,839,108.44 ","$148,095,000.90 ","$175,005,599.85 ","$132,461,524.65 ","$194,199,534.00 ","$125,950,765.52 ","$138,155,337.86 ","$193,610,093.68 ","$152,543,997.10 ","$154,154,432.26 ","$156,433,250.64 ","$202,262,235.52 ","$160,133,041.22 ","$203,835,830.66 ","$160,048,835.46 ","$163,738,100.32 ","$204,377,905.24 ","$173,232,299.76 ","$173,132,305.42 ","$224,322,362.07 ","$181,554,491.36 ","$186,267,531.20 ","$234,616,633.30 ","$206,440,851.63 ","$196,200,428.93 ","$248,464,369.24 ","$192,004,998.94 ","$280,468,797.39 ","$211,838,577.16 ","$221,329,359.56 ","$249,904,164.07 ","$184,131,963.54 ","$205,313,664.26 ","$262,430,918.34 ","$213,769,088.58 ","$211,223,833.30 ","$255,943,752.87 ","$222,149,018.04 ","$246,684,847.54 ","$267,019,927.33 ","$232,270,721.77 ","$238,218,638.24 ","$334,177,997.79 ","$274,542,450.88 ","$266,523,818.25 ","$307,334,182.57 ","$251,818,498.02 ","$271,511,871.50 ","$280,323,200.16 ","$209,778,645.98 ","$278,478,968.58 ","$226,533,112.41 ","$221,518,096.71 ","$288,417,327.65 ","$237,334,269.88 ","$240,397,204.20 ","$236,180,277.02 ","$297,854,185.15 ","$238,822,597.12 ","$299,757,734.12 ","$247,412,833.69 ","$231,688,332.85 ","$291,615,074.22 ","$235,144,918.94 ","$222,192,157.96 ","$292,569,544.95 ","$202,266,907.41 ","$262,873,102.52 ","$195,623,359.73 ","$128,621,671.48 "
20,HEXVIX (C9275) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,HEXVIX (C9275) - Dose USD ,,,,$0.00 ,,$0.00 ,,,,,,,,$0.00 ,,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,HISTRELIN ACETATE (J1675) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,HISTRELIN ACETATE (J1675) - Dose USD ,,,,,,$0.00 ,,,,,,,,,$0.00 ,,$0.00 ,,,,,,,,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,HISTRELIN IMPLANT (VANTAS) (J9225) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,HISTRELIN IMPLANT (VANTAS) (J9225) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
26,HIT ENZYME REPLACE DIEM (S9357) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HIT ENZYME REPLACE DIEM (S9357) - Dose USD ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,
28,HIZENTRA (J1559) - Dose Units ,"1,979","1,899","2,071","1,504","1,464","1,688","1,661","2,097","1,543","1,385","1,886","1,385","1,227","1,054","1,239",752,"1,173","1,173",817,"1,199","1,028","1,133","1,635","1,662","1,886","1,806","1,847","1,701","2,215","1,661","1,661","2,044","1,674","1,806","1,002",355,395,236,262,368,658,580,434,777,632,908,989,671,909,975,618,711,526,565,605,658,"1,054",646,671,697,"1,451",856,"1,438","1,027","1,199","1,542","1,147",817,"1,542","1,528","1,345","1,569",777,196,195,314,394,683,566,513,512,474,472,857,486,434,394,525,315,118,39,196,117,78,,78,235,236,197
29,HIZENTRA (J1559) - Dose USD ,"$7,880,882.45 ","$7,376,361.66 ","$7,855,323.71 ","$6,149,276.81 ","$6,313,741.71 ","$7,632,295.21 ","$7,702,422.25 ","$10,039,576.23 ","$7,637,120.93 ","$6,907,026.16 ","$9,572,317.37 ","$7,024,477.49 ","$6,402,130.29 ","$5,736,273.90 ","$7,296,775.79 ","$4,722,242.28 ","$7,721,342.76 ","$8,035,656.91 ","$5,729,890.61 ","$8,624,112.05 ","$7,431,075.33 ","$8,293,483.52 ","$12,003,496.38 ","$12,518,350.03 ","$14,763,460.70 ","$15,632,166.75 ","$17,438,228.49 ","$16,796,660.75 ","$23,723,230.11 ","$18,972,037.18 ","$19,914,301.88 ","$25,216,566.37 ","$20,863,137.50 ","$22,513,715.20 ","$11,707,984.13 ","$4,090,304.60 ","$4,473,193.30 ","$2,501,025.74 ","$2,493,672.32 ","$3,410,458.33 ","$6,099,846.81 ","$5,318,298.34 ","$3,911,613.40 ","$6,946,391.50 ","$5,551,255.61 ","$7,392,866.99 ","$7,524,692.57 ","$5,021,458.63 ","$6,301,042.47 ","$6,559,141.88 ","$4,284,963.19 ","$5,487,034.43 ","$4,409,556.63 ","$4,921,686.69 ","$5,490,089.02 ","$6,386,398.70 ","$10,908,303.33 ","$7,160,522.34 ","$7,457,675.17 ","$7,829,225.50 ","$15,782,708.38 ","$8,998,655.06 ","$14,476,504.04 ","$9,683,860.29 ","$10,850,311.17 ","$13,173,071.62 ","$10,186,082.72 ","$7,325,682.05 ","$13,142,740.32 ","$11,934,206.85 ","$9,581,235.41 ","$11,025,651.38 ","$5,391,245.58 ","$1,218,755.44 ","$1,113,089.62 ","$1,665,519.59 ","$1,900,031.51 ","$2,878,817.61 ","$2,025,261.20 ","$1,640,647.87 ","$1,597,602.51 ","$1,547,921.66 ","$1,810,357.89 ","$3,622,530.43 ","$2,221,102.57 ","$1,978,821.96 ","$1,904,842.64 ","$2,917,750.45 ","$1,925,505.95 ","$771,114.64 ","$280,172.10 ","$1,477,692.35 ","$941,983.75 ","$539,143.81 ",,"$460,220.28 ","$1,166,485.97 ","$1,292,331.85 ","$983,204.68 "
30,HUMATE-P (J7187) - Dose Units ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HUMATE-P (J7187) - Dose USD ,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,,,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,$0.00 ,,$0.00 ,,,,,,,,,,,,,,,,,,,,$0.00 ,,,,,,,,$0.00 ,$0.00 ,,,,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,$0.00 ,,,,,,,$0.00 ,,$0.00 ,,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,,,$0.00 ,,
32,HUMIRA (J0135) - Dose Units ,"60,157","78,642","97,756","66,109","72,063","105,588","87,104","137,235","89,296","104,961","127,832","95,844","75,823","88,354","122,507","89,608","130,967","109,036","97,757","122,508","117,183","115,302","149,453","117,216","99,602","97,004","105,534","123,194","166,156","135,981","138,591","175,388","139,809","189,577","131,040","134,731","171,033","127,913","140,837","150,508","202,010","165,458","207,988","167,743","167,149","204,074","168,596","142,907","197,516","155,737","152,313","197,874","167,072","168,285","210,717","159,689","201,093","148,169","172,485","194,263","163,910","173,569","205,511","169,594","174,716","209,021","174,417","166,566","215,180","181,572","176,053","226,063","178,120","183,127","213,880","188,048","192,791","244,634","195,827","239,212","186,399","191,394","244,443","208,156","195,384","190,470","223,422","195,918","264,454","201,841","202,711","251,932","226,654","211,135","250,080","213,765","252,305","195,603","141,696"
33,HUMIRA (J0135) - Dose USD ,"$156,320,972.35 ","$204,355,169.10 ","$254,023,853.80 ","$169,967,561.18 ","$185,275,414.26 ","$271,468,859.76 ","$240,110,886.40 ","$378,302,001.00 ","$246,153,353.60 ","$287,409,458.25 ","$350,035,974.00 ","$262,444,833.00 ","$220,516,789.13 ","$256,960,821.74 ","$356,288,333.17 ","$263,750,395.04 ","$385,485,648.46 ","$320,934,381.68 ","$308,751,798.52 ","$386,924,366.88 ","$370,106,099.88 ","$356,900,045.70 ","$462,609,343.55 ","$362,824,545.60 ","$340,200,591.20 ","$331,326,862.40 ","$360,461,930.40 ","$419,611,083.40 ","$565,943,951.60 ","$463,164,884.10 ","$510,853,355.55 ","$646,488,937.40 ","$515,342,964.45 ","$649,422,554.28 ","$448,895,865.60 ","$461,539,902.84 ","$647,168,348.04 ","$484,007,442.44 ","$532,910,307.56 ","$594,845,243.00 ","$798,394,022.50 ","$653,931,380.50 ","$850,032,396.84 ","$685,553,898.99 ","$683,126,262.57 ","$928,661,185.14 ","$767,214,643.56 ","$650,314,023.27 ","$911,281,544.36 ","$718,525,354.27 ","$702,728,011.23 ","$965,547,949.14 ","$815,246,201.92 ","$821,165,168.85 ","$1,095,808,472.46 ","$830,443,481.82 ","$1,045,760,015.34 ","$781,792,984.84 ","$910,092,954.60 ","$1,025,001,522.68 ","$912,804,955.40 ","$966,595,346.86 ","$1,144,478,428.34 ","$944,458,810.36 ","$972,982,921.04 ","$1,164,025,407.74 ","$971,317,807.98 ","$927,596,060.04 ","$1,198,324,509.20 ","$1,011,163,573.68 ","$980,428,593.82 ","$1,258,931,283.22 ","$991,939,592.80 ","$1,019,823,275.38 ","$1,191,084,887.20 ","$1,047,228,029.12 ","$1,073,641,511.54 ","$1,362,352,067.96 ","$1,090,548,813.38 ","$1,332,157,275.28 ","$1,038,044,847.06 ","$1,065,861,702.36 ","$1,361,288,400.42 ","$1,159,208,274.64 ","$1,088,081,772.96 ","$1,060,716,001.80 ","$1,244,223,712.68 ","$1,091,055,586.92 ","$1,472,728,458.76 ","$1,124,040,418.54 ","$1,128,885,396.34 ","$1,402,994,192.08 ","$1,262,222,526.76 ","$1,175,798,146.90 ","$1,392,680,515.20 ","$1,190,444,459.10 ","$1,405,071,406.70 ","$1,089,301,370.82 ","$789,096,522.24 "
34,"HYALGAN OR SUPARTZ, INJ (J7321) - Dose Units ","93,320","92,173","96,503","73,019","79,553","112,684","100,699","128,486","93,571","102,905","121,646","102,640","80,634","94,602","133,869","107,934","136,762","110,232","104,292","134,691","113,095","119,260","171,215","132,830","138,386","131,735","147,773","150,861","188,322","150,096","158,742","178,435","133,318","186,976","218,789","138,691","179,109","233,981","248,699","213,021","260,369","191,280","218,076","177,485","160,088","221,376","145,436","139,761","147,098","104,648","107,182","155,692","155,520","135,220","163,309","129,173","163,216","136,764","122,138","157,673","90,577","126,772","147,231","128,725","138,017","185,471","140,130","129,912","155,230","133,490","118,481","112,634","73,945","91,606","114,337","82,063","85,984","92,267","60,731","70,551","64,574","77,614","86,273","62,341","53,327","55,399","66,249","56,402","67,768","47,545","49,552","55,187","29,473","37,090","42,661","29,435","30,675","32,484","22,980"
